gene,replicate,treatment,time_point,k_on,k_off,k_syn,k_deg,fitted_mean,fitted_variance,of
ENSMUSG00000000184,1,unst,0,0.000732357800650951,0.690402745990006,0.273506729417989,0.0116,0.0497594436915103,0.0690934608509982,0.00477619450603027
ENSMUSG00000000184,1,lps,2,0.00325186910044106,0.66422470240872,0.991940309703426,0.0116,0.622325276804196,1.75142152241469,0.0039670904909107
ENSMUSG00000000184,1,pic,2,0.00197863216515159,0.793677588557669,2.22777775003936,0.0116,0.714010384409439,3.1655004948,0.00251381161177517
ENSMUSG00000000184,1,lps,4,0.00468285960957593,0.729218394236108,1.9530234656616,0.0116,2.01341543004403,7.57581227285834,0.00763810972673352
ENSMUSG00000000184,1,pic,4,0.00246023473136037,0.569740156493783,2.84055499069424,0.0116,1.97226766115398,12.1045159276299,0.00642572875042586
ENSMUSG00000000184,1,lps,6,0.00426968533795025,0.882750438938175,2.18588618390513,0.0116,1.78566411262943,6.17078653404583,0.0145080548284657
ENSMUSG00000000184,2,unst,0,0.00146966382002012,0.770742162626056,0.0114059006910586,0.0116,0.00372698607830473,0.00377918543847034,0.000204940039105261
ENSMUSG00000000184,2,lps,2,0.00242772380950929,0.858952089660947,0.920258776868849,0.0116,0.334453998268938,0.773208444465164,0.00179073827144109
ENSMUSG00000000184,2,lps,4,0.0017211684707511,0.954272263809207,2.05114175394493,0.0116,0.596747911998119,1.935840569988,0.00452819654469725
ENSMUSG00000000184,2,pic,4,0.250568754232182,0.5,0.0,0.0116,0.0,0.0,0.00125091979396601
ENSMUSG00000000184,2,lps,6,0.000659688507378076,0.541824725196911,2.0,0.0116,0.41250574676639,1.91633325410464,0.00430317635064089
ENSMUSG00000000184,2,pic,6,0.00281228721469962,0.9375,0.016456638840055,0.0116,0.00835334143194593,0.00849894562347427,0.000614367344716593
ENSMUSG00000000184,3,unst,0,0.000239535881466746,0.0,47.2019990411491,0.0116,0.0520652261994344,3.49221817718822,0.00211352364715736
ENSMUSG00000000184,3,lps,2,0.00415232246930819,0.866648045845871,0.61181975240535,0.0116,0.376236089030206,0.70029277993988,0.00332628469104459
ENSMUSG00000000184,3,pic,2,0.00921400263353145,0.855852994178278,0.0100374593282331,0.0116,0.0137878673075605,0.0139815866285404,0.00149821357303995
ENSMUSG00000000184,3,lps,4,0.0043679821718936,1.0,1.0,0.0116,0.702889346119633,1.43398382811569,0.013115074781111
ENSMUSG00000000184,3,pic,4,0.0011116144904727,0.278913164980272,0.122156406197383,0.0116,0.0782058007269671,0.112859848990612,0.00344207020614287
ENSMUSG00000000184,3,lps,6,0.00205876514573122,0.811167959871925,2.09035711438642,0.0116,0.89798170642852,3.19880796990937,0.00596854410728573
ENSMUSG00000000184,3,pic,6,0.000607950892461573,1.0,0.453296597196602,0.0116,0.0467349894916126,0.0679037809059414,0.00247547848467909
ENSMUSG00000000982,1,unst,0,0.00367556692718596,0.755429836409608,1.53883937830029,0.0116,1.27951184087917,3.82846565427252,0.0070051492884848
ENSMUSG00000000982,1,lps,2,0.0256628470752805,0.619449782670815,6.49616667027927,0.0116,33.2722637603986,427.764654134078,0.0148863014017167
ENSMUSG00000000982,1,pic,2,0.00781815820197262,0.545332232432232,2.302761001584,0.0116,4.18611640228424,25.1979336433539,0.0114226618139118
ENSMUSG00000000982,1,lps,4,0.0282486022080183,0.714277592522892,11.555133360295,0.0116,71.0247734210032,1181.40407237301,0.00972542409349653
ENSMUSG00000000982,1,pic,4,0.00538056086803651,0.673437448711744,2.63748635831031,0.0116,3.37733483326083,16.962160769629,0.00980233746078815
ENSMUSG00000000982,1,lps,6,0.0156022657171156,0.870665906904882,23.2522842997201,0.0116,69.4250934502296,1853.5080896061,0.0156247769330199
ENSMUSG00000000982,2,unst,0,0.00320278619168102,0.898863346934944,0.93389878659662,0.0116,0.569419012080992,1.15089799256155,0.00379687856253758
ENSMUSG00000000982,2,lps,2,0.0130775054304287,0.969456689495628,22.3718872795723,0.0116,38.3891510101076,1097.22039132832,0.0176375834053294
ENSMUSG00000000982,2,pic,2,0.00402011765295474,0.874987450276649,1.75239077036569,0.0116,1.03358301313982,3.56048510088134,0.00481275156303394
ENSMUSG00000000982,2,lps,4,0.0135567388950871,0.789817644504842,25.5703385808827,0.0116,69.5780113471931,2321.52657776979,0.00933163748921286
ENSMUSG00000000982,2,pic,4,0.0116128721053474,0.907667550835057,0.385487859426709,0.0116,0.787030813638861,1.12867403046066,0.0125139223054575
