gene,treatment,time_point,k_on,k_off,k_syn,bf_point,bf_lower,bf_upper,bs_point,bs_lower,bs_upper,keep
ENSMUSG00000000001,unst,0,3.1106317728534507,4.229207492599856,1.2790409995625955,,,,,,,False
ENSMUSG00000000001,lps,2,1.1320428587481386,0.49469638784620423,1.1185586854389433,1.1320428587481386,0.5043688727004149,2.709487009318507,2.2611013804020157,0.5332892534794132,7.383797203768696,True
ENSMUSG00000000001,pic,2,4.000992868383591,114.00710391258475,16.024512420583466,,,,,,,False
ENSMUSG00000000001,lps,4,6.119609174758443,27.633709904134143,4.304552528068612,,,,,,,False
ENSMUSG00000000001,pic,4,4.81739938475647,757.7834321478568,92.37829379910742,,,,,,,False
ENSMUSG00000000001,lps,6,2.538389712654147,1.8068057116040321,1.1964611721083616,,,,,,,False
ENSMUSG00000000001,pic,6,9.78845518205521,555.890200860586,38.153255804837094,,,,,,,False
ENSMUSG00000000001,pic,6A,5.670381287227516,362.72307280077627,40.63966452023471,,,,,,,False
ENSMUSG00000000056,unst,0,1.5735267412240308,32.57044188718904,2.617221502869732,,,,,,,False
ENSMUSG00000000056,lps,2,0.7620165473451098,123.50066851939417,4.147113933872561,,,,,,,False
ENSMUSG00000000056,pic,2,1.3773423409304084,52.23347369948204,2.5772240831940163,,,,,,,False
ENSMUSG00000000056,lps,4,3.453559500590951,65.81675856144822,1.0,,,,,,,False
ENSMUSG00000000056,pic,4,1.151752505490049,25.51276551834108,1.3858811788389176,,,,,,,False
ENSMUSG00000000056,lps,6,1.4098394260572171,13.19107547151352,1.0,,,,,,,False
ENSMUSG00000000056,pic,6,0.001,933.8672646461051,1.0,,,,,,,False
ENSMUSG00000000056,pic,6A,0.001,601.3139830227009,1.0,,,,,,,False
ENSMUSG00000000058,unst,0,2.5978545586242308,317.05539495923426,124.93087999973059,,,,,,,False
ENSMUSG00000000058,lps,2,1.9689252496120946,58.82013849040984,59.518961533534195,2.0673715120926994,,,0.9511678360064384,0.9119828899867507,0.990164024979976,True
ENSMUSG00000000058,pic,2,2.014595039451718,443.92129392247955,213.41042075805709,,,,,,,False
ENSMUSG00000000058,lps,4,1.9119183743755481,435.46506653560914,484.1701290090279,1.9119183743755481,,,1.1118460841437807,1.0647494018535069,1.1590519087921922,True
ENSMUSG00000000058,pic,4,1.550076704353915,703.1781171981733,438.92981504894084,,,,,,,False
ENSMUSG00000000058,lps,6,1.6832053915506573,394.8944708514481,474.4675298099086,1.6832053915506573,,,1.1654594781316716,1.1118544605273784,1.2474788062570121,True
ENSMUSG00000000058,pic,6,2.665308213215071,289.4594785579288,127.13016289155532,,,,,,,False
ENSMUSG00000000058,pic,6A,2.636679261806873,774.1339963620637,322.5731081511902,,,,,,,False
ENSMUSG00000000078,unst,0,4.438913739610339,635.2454716541781,255.1672175178472,,,,,,,False
ENSMUSG00000000078,lps,2,3.65159934550046,377.4043132376213,287.9710361201481,,,,,,,False
ENSMUSG00000000078,pic,2,3.2731182039230964,59.16796570013433,35.798041370208296,,,,,,,False
ENSMUSG00000000078,lps,4,3.4414271504999165,434.4619409693773,392.0606735689503,,,,,,,False
ENSMUSG00000000078,pic,4,2.9157641477495537,337.0193440573196,287.7565461281289,,,,,,,False
ENSMUSG00000000078,lps,6,3.005534901209051,410.66126313478463,340.8306427590995,,,,,,,False
ENSMUSG00000000078,pic,6,5.199421696908439,101.49587573599523,42.02495028062111,,,,,,,False
ENSMUSG00000000078,pic,6A,4.968174740730027,633.7912594154203,247.31309191862022,,,,,,,False
ENSMUSG00000000149,unst,0,2.1673531819837883,6.108997904191299,1.0947141959336608,,,,,,,False
